Kraj_Cislo;Kraj_Nazev;ORP_Cislo;ORP_Nazev; Pocet_Obyvatel 
CZ052;Královéhradecký kraj;5205;Hradec Králové; 144 847 
CZ052;Královéhradecký kraj;5206;Jaroměř; 19 176 
CZ052;Královéhradecký kraj;5207;Jičín; 47 589 
CZ052;Královéhradecký kraj;5208;Kostelec nad Orlicí; 24 858 
CZ052;Královéhradecký kraj;5209;Náchod; 59 412 
CZ052;Královéhradecký kraj;5210;Nová Paka; 13 037 
CZ052;Královéhradecký kraj;5211;Nové Město nad Metují; 13 909 
CZ052;Královéhradecký kraj;5212;Nový Bydžov; 17 553 
CZ052;Královéhradecký kraj;5213;Rychnov nad Kněžnou; 33 659 
CZ052;Královéhradecký kraj;5214;Trutnov; 61 713 
CZ052;Královéhradecký kraj;5215;Vrchlabí; 26 738 
CZ053;Pardubický kraj;5301;Česká Třebová; 17 644 
CZ053;Pardubický kraj;5302;Hlinsko; 20 765 
CZ053;Pardubický kraj;5303;Holice; 17 945 
CZ053;Pardubický kraj;5304;Chrudim; 82 981 
CZ053;Pardubický kraj;5305;Králíky; 8 376 
CZ053;Pardubický kraj;5306;Lanškroun; 22 498 
CZ053;Pardubický kraj;5307;Litomyšl; 26 780 
CZ053;Pardubický kraj;5308;Moravská Třebová; 25 775 
CZ053;Pardubický kraj;5309;Pardubice; 128 883 
CZ053;Pardubický kraj;5310;Polička; 19 435 
CZ053;Pardubický kraj;5311;Přelouč; 25 396 
CZ053;Pardubický kraj;5312;Svitavy; 30 876 
CZ053;Pardubický kraj;5313;Ústí nad Orlicí; 26 106 
CZ053;Pardubický kraj;5314;Vysoké Mýto; 32 082 
CZ053;Pardubický kraj;5315;Žamberk; 28 976 
CZ063;Kraj Vysočina;6101;Bystřice nad Pernštejnem; 19 463 
CZ063;Kraj Vysočina;6102;Havlíčkův Brod; 52 820 
CZ063;Kraj Vysočina;6103;Humpolec; 17 710 
CZ063;Kraj Vysočina;6104;Chotěboř; 21 532 
CZ063;Kraj Vysočina;6105;Jihlava; 99 606 
CZ063;Kraj Vysočina;6106;Moravské Budějovice; 22 697 
CZ063;Kraj Vysočina;6107;Náměšť nad Oslavou; 13 329 
CZ063;Kraj Vysočina;6108;Nové Město na Moravě; 19 169 
CZ063;Kraj Vysočina;6109;Pacov; 9 207 
CZ063;Kraj Vysočina;6110;Pelhřimov; 44 654 
CZ063;Kraj Vysočina;6111;Světlá nad Sázavou; 19 340 
CZ063;Kraj Vysočina;6112;Telč; 12 809 
CZ063;Kraj Vysočina;6113;Třebíč; 73 157 
CZ063;Kraj Vysočina;6114;Velké Meziříčí; 36 332 
CZ063;Kraj Vysočina;6115;Žďár nad Sázavou; 42 200 
CZ064;Jihomoravský kraj;6201;Blansko; 56 155 
CZ064;Jihomoravský kraj;6202;Boskovice; 51 757 
CZ064;Jihomoravský kraj;6203;Brno; 379 466 
CZ064;Jihomoravský kraj;6204;Břeclav; 58 281 
CZ064;Jihomoravský kraj;6205;Bučovice; 16 225 
CZ064;Jihomoravský kraj;6206;Hodonín; 59 605 
CZ064;Jihomoravský kraj;6207;Hustopeče; 36 205 
CZ064;Jihomoravský kraj;6208;Ivančice; 24 509 
CZ064;Jihomoravský kraj;6209;Kuřim; 23 345 
CZ064;Jihomoravský kraj;6210;Kyjov; 54 837 
CZ064;Jihomoravský kraj;6211;Mikulov; 20 315 
CZ064;Jihomoravský kraj;6212;Moravský Krumlov; 22 425 
CZ064;Jihomoravský kraj;6213;Pohořelice; 14 982 
CZ064;Jihomoravský kraj;6214;Rosice; 26 446 
CZ064;Jihomoravský kraj;6215;Slavkov u Brna; 24 284 
CZ064;Jihomoravský kraj;6216;Šlapanice; 70 716 
CZ064;Jihomoravský kraj;6217;Tišnov; 31 853 
CZ064;Jihomoravský kraj;6218;Veselí nad Moravou; 36 654 
CZ064;Jihomoravský kraj;6219;Vyškov; 51 808 
CZ064;Jihomoravský kraj;6220;Znojmo; 91 037 
CZ064;Jihomoravský kraj;6221;Židlochovice; 33 663 
CZ071;Olomoucký kraj;7101;Hranice; 33 567 
CZ071;Olomoucký kraj;7102;Jeseník; 36 752 
CZ071;Olomoucký kraj;7103;Konice; 10 553 
CZ071;Olomoucký kraj;7104;Lipník nad Bečvou; 14 960 
CZ071;Olomoucký kraj;7105;Litovel; 23 524 
CZ071;Olomoucký kraj;7106;Mohelnice; 18 212 
CZ071;Olomoucký kraj;7107;Olomouc; 164 208 
CZ071;Olomoucký kraj;7108;Prostějov; 97 027 
CZ071;Olomoucký kraj;7109;Přerov; 78 086 
CZ071;Olomoucký kraj;7110;Šternberk; 23 816 
CZ071;Olomoucký kraj;7111;Šumperk; 67 419 
CZ071;Olomoucký kraj;7112;Uničov; 22 040 
CZ071;Olomoucký kraj;7113;Zábřeh; 32 766 
CZ072;Zlínský kraj;7201;Bystřice pod Hostýnem; 14 956 
CZ072;Zlínský kraj;7202;Holešov; 21 425 
CZ072;Zlínský kraj;7203;Kroměříž; 67 064 
CZ072;Zlínský kraj;7204;Luhačovice; 18 272 
CZ072;Zlínský kraj;7205;Otrokovice; 33 487 
CZ072;Zlínský kraj;7206;Rožnov pod Radhoštěm; 34 565 
CZ072;Zlínský kraj;7207;Uherské Hradiště; 88 654 
CZ072;Zlínský kraj;7208;Uherský Brod; 51 175 
CZ072;Zlínský kraj;7209;Valašské Klobouky; 22 727 
CZ072;Zlínský kraj;7210;Valašské Meziříčí; 41 459 
CZ072;Zlínský kraj;7211;Vizovice; 16 981 
CZ072;Zlínský kraj;7212;Vsetín; 64 147 
CZ072;Zlínský kraj;7213;Zlín; 97 520 
CZ080;Moravskoslezský kraj;8101;Bílovec; 25 463 
CZ080;Moravskoslezský kraj;8102;Bohumín; 33 308 
CZ080;Moravskoslezský kraj;8103;Bruntál; 35 566 
CZ080;Moravskoslezský kraj;8104;Český Těšín; 24 826 
CZ080;Moravskoslezský kraj;8105;Frenštát pod Radhoštěm; 19 303 
CZ080;Moravskoslezský kraj;8106;Frýdek-Místek; 111 311 
CZ080;Moravskoslezský kraj;8107;Frýdlant nad Ostravicí; 24 915 
CZ080;Moravskoslezský kraj;8108;Havířov; 84 518 
CZ080;Moravskoslezský kraj;8109;Hlučín; 40 254 
CZ080;Moravskoslezský kraj;8110;Jablunkov; 22 364 
CZ080;Moravskoslezský kraj;8111;Karviná; 60 854 
CZ080;Moravskoslezský kraj;8112;Kopřivnice; 40 184 
CZ080;Moravskoslezský kraj;8113;Kravaře; 21 023 
CZ080;Moravskoslezský kraj;8114;Krnov; 39 120 
CZ080;Moravskoslezský kraj;8115;Nový Jičín; 48 118 
CZ080;Moravskoslezský kraj;8116;Odry; 16 851 
CZ080;Moravskoslezský kraj;8117;Opava; 99 316 
CZ080;Moravskoslezský kraj;8118;Orlová; 36 813 
CZ080;Moravskoslezský kraj;8119;Ostrava; 312 104 
CZ080;Moravskoslezský kraj;8120;Rýmařov; 14 861 
CZ080;Moravskoslezský kraj;8121;Třinec; 53 757 
CZ080;Moravskoslezský kraj;8122;Vítkov; 13 160 
